,reference
0,90.94998306035995
1,71.25999647378922
2,36.680360198020935
3,35.177243411540985
4,86.43919050693512
5,72.57084077596664
6,34.61973857879639
7,23.114677011966705
8,89.19573098421097
9,36.74763250350952
10,41.28727471828461
11,36.51815074682236
12,76.13449090719223
13,55.24201142787933
14,40.74253535270691
15,79.84079706668854
16,58.95692753791809
17,69.407705783844
18,74.63476061820984
19,84.24913811683655
20,69.86270278692245
21,53.23595243692398
22,34.43985617160797
23,22.681521773338318
24,59.03612422943115
25,38.25687378644943
26,49.587407410144806
27,29.495011150836945
28,21.805809319019318
29,26.794750094413757
30,44.31581723690033
31,37.166512966156006
32,84.16200870275497
33,54.587828278541565
34,35.581581830978394
35,37.437493085861206
36,12.390715599060059
37,12.407188415527344
38,58.28613084554672
39,39.32169568538666
40,39.26682096719742
41,28.65726011991501
42,44.32170331478119
43,59.572303771972656
44,28.308740973472595
45,90.80245614051819
46,32.47853809595108
47,55.2803955078125
48,66.54307597875595
49,31.441968381404877
50,22.904234528541565
51,88.57963556051254
52,52.62442082166672
53,77.58207875490189
54,16.321127474308014
55,34.02243822813034
56,22.81073123216629
57,38.53652322292328
58,83.12069177627563
59,21.387674808502197
60,20.718556702136993
61,11.051883816719055
62,64.89082610607147
63,33.50042271614075
64,53.37209874391556
65,50.66727274656296
66,33.29652899503708
67,52.86347943544388
68,35.71200853586197
69,39.777340054512024
70,33.60208475589752
71,82.39300894737244
72,44.85784029960632
73,36.999051332473755
74,42.4677614569664
75,41.91855537891388
76,37.41594570875168
77,11.302074790000916
78,20.053625762462616
79,40.11547136306763
80,18.52696281671524
81,22.496160984039307
82,38.675567984580994
83,74.63767057657242
84,67.58289557695389
85,70.24190354347229
86,45.388020277023315
87,36.97958618402481
88,33.95583927631378
89,23.160748958587646
90,45.261422872543335
91,79.17515325546265
92,42.28365337848663
93,41.679267168045044
94,28.97536987066269
95,60.2632520198822
96,25.450797379016876
97,51.5550816655159
98,19.119732201099396
99,42.471327006816864
100,75.15957826375961
101,15.572435915470123
102,74.42309141159058
103,41.27137625217438
104,91.77175265550613
105,49.48652523756027
106,61.07083785533905
107,38.48673176765442
108,61.16266930103302
109,7.118195533752441
110,32.833904922008514
111,86.34358948469162
112,62.21802091598511
113,51.288397669792175
114,55.902086555957794
115,56.56108021736145
116,62.17888379096985
117,45.12586867809296
118,17.245604872703552
119,83.35716223716736
120,59.90050733089447
121,72.38620549440384
122,55.54404991865158
123,28.745259702205658
124,51.46242034435272
125,50.81312829256058
126,31.05227553844452
127,41.39921271800995
128,82.65695089101791
129,54.15116310119629
130,84.42412251234055
131,21.24358493089676
132,13.365331470966339
133,31.16099125146866
134,63.16640317440033
135,66.25016689300537
136,42.65661537647247
137,26.627415597438812
138,56.67854583263397
139,77.93954932689667
140,33.62985974550247
141,17.37307584285736
142,52.522573590278625
143,55.70976096391678
144,62.25876772403717
145,35.69476932287216
146,30.84100639820099
147,32.10514682531357
148,14.56183809041977
149,60.973357141017914
150,37.09255039691925
151,56.240396201610565
152,11.411918818950653
153,48.61649954319
154,14.313460528850555
155,84.32117426395416
156,45.925186693668365
157,65.12334942817688
158,55.09042549133301
159,74.76400965452194
160,44.42013192176819
161,11.268056571483612
162,63.096634805202484
163,38.18574172258377
164,64.39601278305054
165,69.79237550497055
166,33.258551716804504
167,79.93093460798264
168,12.771312654018402
169,61.73538088798523
170,82.73141747713089
171,50.56210458278656
172,38.24017637968063
173,16.125800132751465
174,16.01476740837097
175,48.8683557510376
176,0.020500898361206055
177,61.92037117481232
178,-5.746749460697174
179,36.415367901325226
180,42.64214110374451
181,46.55722784996033
182,46.45783644914627
183,43.27302384376526
184,85.22784626483917
185,45.17244154214859
186,76.31044512987137
187,32.2667732834816
188,46.35333579778671
189,48.73864793777466
190,27.612602412700653
191,33.45919859409332
192,48.81894475221634
193,33.53448671102524
194,24.001039266586304
195,48.39832180738449
196,88.47746002674103
197,77.07624870538712
198,49.889662861824036
199,54.797758519649506
200,14.868021249771118
201,85.4212189912796
202,74.03790426254272
203,22.543557465076447
204,31.83863341808319
205,88.3286269903183
206,53.96849274635315
207,17.483619391918182
208,21.070240795612335
209,68.4718850851059
210,60.23410511016846
211,7.141058623790741
212,56.65487360954285
213,45.43825972080231
214,82.89275354146957
215,44.31715762615204
216,73.81357854604721
217,45.61714291572571
218,18.468060851097107
219,21.611986458301544
220,41.617432713508606
221,26.668961465358734
222,50.944157123565674
223,10.66434383392334
224,74.3897003531456
225,85.30245471000671
226,18.283656656742096
227,53.69989329576492
228,5.702485263347626
229,32.974360167980194
230,58.33709669113159
231,62.26590073108673
232,44.14543682336807
233,27.186109125614166
234,39.68685573339462
235,52.4898219704628
236,84.19739961624146
237,57.17411208152771
238,54.83385926485062
239,50.403178095817566
240,90.48183310031891
241,42.59004324674606
242,66.98493272066116
243,67.54592484235764
244,53.44335651397705
245,4.370969653129578
246,50.39983093738556
247,25.82178646326065
248,77.32107728719711
249,42.997781217098236
250,55.66013604402542
251,13.731893420219421
252,44.66281312704086
253,83.4623492360115
254,69.84741777181625
255,41.948033809661865
256,79.57491332292557
257,17.945518255233765
258,82.23509359359741
259,39.46011132001877
260,21.438154816627502
261,51.93341410160065
262,70.94066381454468
263,37.27669209241867
264,35.229996144771576
265,42.229192435741425
266,33.65540510416031
267,32.79742181301117
268,56.71035850048065
269,59.18050068616867
270,76.8209919333458
271,36.82611167430878
272,49.912622928619385
273,53.91852289438248
274,36.82525992393494
275,51.61384356021881
276,59.85458964109421
277,55.980096995830536
278,66.88829809427261
279,33.373935997486115
280,43.30591517686844
281,36.0849814414978
282,58.991558611392975
283,46.39566904306412
284,48.39685297012329
285,46.24075096845627
286,63.68631333112717
287,54.36821186542511
288,56.86715358495712
289,9.291265189647675
290,49.169569313526154
291,43.37453895807266
292,53.28000336885452
293,34.081524431705475
294,81.087229013443
295,71.42656344175339
296,30.709413647651672
297,83.67853981256485
298,66.83371049165726
299,41.18063884973526
300,53.811156153678894
301,24.20032638311386
302,53.66534239053726
303,37.497468173503876
304,12.997227370738983
305,57.17768430709839
306,41.27197974920273
307,63.61812001466751
308,84.85295057296753
309,20.333183765411377
310,15.675457537174225
311,52.15193039178848
312,12.957035779953003
313,10.52334839105606
314,63.88477110862732
315,81.47323930263519
316,35.6867333650589
317,64.91494429111481
318,37.11285251379013
319,18.683596968650818
320,45.459296464920044
321,29.280683994293213
322,46.31897556781769
323,46.90303176641464
324,35.414006650447845
325,54.396994829177856
326,63.6176540851593
327,78.34535598754883
328,49.007457852363586
329,58.65863025188446
330,89.39303588867188
331,39.76512151956558
332,29.358368396759033
333,37.542634069919586
334,62.85176080465317
335,29.11854773759842
336,53.377908170223236
337,33.87249535322189
338,16.171344578266144
339,38.585117280483246
340,51.20622420310974
341,36.1174151301384
342,53.36187642812729
343,24.603535056114197
344,41.46145981550217
345,59.29170370101929
346,53.38239061832428
347,48.40411239862442
348,46.25127029418945
349,77.84639483690262
350,74.96942764520645
351,45.307656943798065
352,54.55012720823288
353,79.52491253614426
354,24.161316752433777
355,75.1858743429184
356,25.597561478614807
357,48.897763311862946
358,80.69654387235641
359,46.79417151212692
360,62.35431796312332
361,39.95297831296921
362,59.613371193408966
363,54.16820842027664
364,34.35072386264801
365,28.425549268722534
366,52.19028437137604
367,47.16738075017929
368,30.006803452968597
369,87.83553946018219
370,16.739172637462616
371,39.692087054252625
372,79.97551077604294
373,16.802225470542908
374,80.52528035640717
375,12.881535828113556
376,48.782038033008575
377,36.1986289024353
378,57.822303116321564
379,22.955673098564148
380,41.83815836906433
381,84.47810769081116
